tier,stage,region,weapon,hp_max,enemy_composition,spawn_total,elite_composition,elite_total,summon_total,seconds,clear_seconds,boss_seconds,damage_taken,dead,completed,watchdog,path_failure_samples,max_no_damage_seconds,remaining_enemies,last_enemy_blocks_victory,cleanup
basic,11,R3,0,9.0,"{""E01"": 36, ""E11"": 36}",72,{},0,0,45.019,,,0.0,False,True,False,0,3.65951933333335,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,12,R3,0,9.5,"{""E02"": 46, ""E09"": 23}",69,{},0,0,45.156,,,0.0,False,True,False,0,2.73604015151516,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,13,R3,0,9.5,"{""E05"": 5, ""E10"": 4}",9,{},0,0,11.045,,,9.5,True,False,False,0,9.55493266666678,9,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,14,R3,0,9.5,"{""E02"": 29, ""E04"": 30, ""E11"": 29}",88,{},0,0,45.002,,,0.0,False,True,False,0,3.22124109090911,5,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,15,R3,0,10.0,"{""E02"": 18, ""E05"": 18, ""E09"": 18, ""E11"": 18}",72,"{""E02"": 1}",1,0,45.191,,,4.0,False,True,False,0,2.3017,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,16,R4,0,10.0,"{""E02"": 85, ""E07"": 26}",111,{},0,0,45.061,,,0.0,False,True,False,0,1.89002081818182,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,17,R4,0,10.0,"{""E01"": 14, ""E08"": 8}",22,{},0,0,45.189,,,0.0,False,True,False,0,3.13629124242426,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,18,R4,0,10.5,"{""E02"": 59, ""E12"": 30}",89,{},0,0,45.003,,,0.0,False,True,False,0,2.60488984848487,5,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,19,R4,0,10.5,"{""E02"": 40, ""E05"": 15, ""E07"": 16, ""E08"": 16}",87,{},0,0,45.0,,,7.0,False,True,False,0,2.67917657575757,8,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,20,R4,0,10.5,"{""B02"": 1, ""E02"": 3}",4,{},0,0,7.683,7.683,7.683,1.0,False,True,False,0,1.01327775757576,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,21,R5,0,10.5,"{""E02"": 34, ""E03"": 18, ""E09"": 18}",70,{},0,0,45.031,,,0.0,False,True,False,0,1.35915842424243,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,22,R5,0,10.5,"{""E05"": 6, ""E10"": 9}",15,{},0,0,13.369,,,10.5,True,False,False,0,11.4436490000001,14,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,23,R5,0,10.5,"{""E02"": 29, ""E04"": 30, ""E11"": 29}",88,{},0,0,45.022,,,3.0,False,True,False,0,2.32020887878787,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,24,R5,0,11.0,"{""E02"": 70, ""E07"": 22, ""E12"": 22}",114,{},0,0,45.016,,,0.0,False,True,False,0,2.72330624242425,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,25,R5,0,11.0,"{""E02"": 26, ""E03"": 14, ""E05"": 14, ""E08"": 14}",68,"{""E03"": 1}",1,0,45.189,,,2.0,False,True,False,0,2.14027336363638,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,26,R6,0,11.0,"{""E01"": 37, ""E02"": 37, ""E12"": 36}",110,{},0,0,45.024,,,0.0,False,True,False,0,1.89320824242424,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,27,R6,0,11.5,"{""E01"": 17, ""E02"": 17, ""E08"": 18, ""E09"": 18}",70,{},0,0,45.053,,,0.0,False,True,False,0,2.13675845454544,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,28,R6,0,11.5,"{""E02"": 21, ""E04"": 24, ""E10"": 27}",72,{},0,0,45.018,,,5.0,False,True,False,0,2.75525381818184,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,29,R6,0,11.5,"{""E02"": 21, ""E05"": 4}",25,{},0,0,45.172,,,0.0,False,True,False,0,1.324971,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
basic,30,R6,0,11.5,"{""B03"": 1, ""E02"": 2}",3,{},0,0,8.082,8.082,8.082,2.0,False,True,False,0,0.940805333333333,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,1,R1,114,6.0,"{""E01"": 37, ""E02"": 18}",55,{},0,0,45.147,,,0.0,False,True,False,0,1.744688,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,2,R1,114,7.0,"{""E01"": 24, ""E02"": 48}",72,{},0,0,45.201,,,0.0,False,True,False,0,1.386096,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,3,R1,114,8.0,"{""E01"": 35, ""E02"": 18, ""E05"": 17}",70,{},0,0,45.074,,,2.0,False,True,False,0,1.841232,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,4,R1,114,8.5,"{""E02"": 69, ""E04"": 22}",91,{},0,0,45.137,,,0.0,False,True,False,0,1.44155775757576,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,5,R1,114,9.0,"{""E01"": 18, ""E02"": 18, ""E04"": 18, ""E05"": 18}",72,"{""E04"": 1}",1,0,45.023,,,5.0,False,True,False,0,1.44623990909091,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,6,R2,114,9.5,"{""E01"": 20, ""E03"": 20}",40,{},0,0,45.029,,,0.0,False,True,False,0,2.82878787878789,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,7,R2,114,9.5,"{""E02"": 48, ""E06"": 24}",72,{},0,0,45.044,,,0.0,False,True,False,0,2.07901321212121,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,8,R2,114,10.0,"{""E01"": 20, ""E03"": 20, ""E05"": 20}",60,{},0,0,45.16,,,3.0,False,True,False,0,1.825508,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,9,R2,114,10.0,"{""E02"": 27, ""E03"": 13, ""E04"": 13}",53,{},0,0,45.054,,,0.0,False,True,False,0,7.17913806060617,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,10,R2,114,10.5,"{""B01"": 1, ""E02"": 2}",3,{},0,0,14.348,14.348,14.348,1.0,False,True,False,0,1.05502381818182,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,11,R3,114,10.5,"{""E01"": 36, ""E11"": 36}",72,{},0,0,45.003,,,0.0,False,True,False,0,2.09414224242424,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,12,R3,114,10.5,"{""E02"": 14, ""E09"": 7}",21,{},0,0,45.014,,,0.0,False,True,False,0,2.6138400909091,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,13,R3,114,10.5,"{""E05"": 14, ""E10"": 15}",29,{},0,0,24.657,,,11.25,True,False,False,0,5.77800324242431,16,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,14,R3,114,10.5,"{""E02"": 28, ""E04"": 28, ""E11"": 28}",84,{},0,0,45.185,,,3.0,False,True,False,0,2.02460509090909,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,15,R3,114,11.0,"{""E02"": 12, ""E05"": 12, ""E09"": 13, ""E11"": 12}",49,{},0,0,28.992,,,12.95,True,False,False,0,1.72394757575757,16,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,16,R4,114,11.0,"{""E02"": 87, ""E07"": 23}",110,{},0,0,45.007,,,0.0,False,True,False,0,2.473289,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,17,R4,114,11.0,"{""E01"": 25, ""E08"": 13}",38,{},0,0,45.158,,,0.0,False,True,False,0,13.3694332424244,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,18,R4,114,11.0,"{""E02"": 60, ""E12"": 31}",91,{},0,0,45.167,,,0.0,False,True,False,0,1.63039233333333,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,19,R4,114,11.5,"{""E02"": 39, ""E05"": 16, ""E07"": 17, ""E08"": 16}",88,{},0,0,44.989,,,1.0,False,True,False,0,3.09651924242425,21,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,20,R4,114,11.5,"{""B02"": 1, ""E02"": 3, ""E07"": 3}",7,{},0,3,10.527,10.527,10.527,0.0,False,True,False,0,1.36906124242424,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,21,R5,114,11.5,"{""E02"": 30, ""E03"": 15, ""E09"": 15}",60,{},0,0,45.029,,,0.0,False,True,False,0,1.52221600000001,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,22,R5,114,11.5,"{""E01"": 17, ""E05"": 20, ""E10"": 17}",54,{},0,0,45.008,,,8.0,False,True,False,0,2.45720224242425,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,23,R5,114,11.5,"{""E02"": 22, ""E04"": 22, ""E11"": 22}",66,{},0,0,45.002,,,0.0,False,True,False,0,1.97398490909091,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,24,R5,114,12.0,"{""E02"": 56, ""E07"": 15, ""E12"": 16}",87,{},0,0,45.008,,,0.0,False,True,False,0,2.7277280909091,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,25,R5,114,12.0,"{""E02"": 30, ""E03"": 15, ""E05"": 15, ""E08"": 15}",75,"{""E02"": 1}",1,0,45.023,,,2.0,False,True,False,0,2.496734,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,26,R6,114,12.0,"{""E01"": 39, ""E02"": 39, ""E12"": 39}",117,{},0,0,45.031,,,0.0,False,True,False,0,1.32959715151515,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,27,R6,114,12.5,"{""E01"": 15, ""E02"": 15, ""E08"": 15, ""E09"": 16}",61,{},0,0,45.015,,,0.0,False,True,False,0,2.50768724242423,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,28,R6,114,12.5,"{""E02"": 12, ""E04"": 7, ""E10"": 13}",32,{},0,0,20.252,,,13.55,True,False,False,0,2.94547072727274,13,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,29,R6,114,12.5,"{""E02"": 21, ""E05"": 38, ""E12"": 5}",64,{},0,0,31.609,,,12.8,True,False,False,0,6.47839309090916,30,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
middle,30,R6,114,12.5,"{""B03"": 1}",1,{},0,0,12.322,12.322,12.322,5.0,False,True,False,0,1.74909275757576,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,1,R1,116,8.0,"{""E01"": 40, ""E02"": 20}",60,{},0,0,45.154,,,0.0,False,True,False,57,2.97217599999997,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,2,R1,116,9.0,"{""E01"": 24, ""E02"": 48}",72,{},0,0,45.201,,,0.0,False,True,False,0,2.2412,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,3,R1,116,10.0,"{""E01"": 35, ""E02"": 18, ""E05"": 17}",70,{},0,0,45.07,,,0.0,False,True,False,0,2.55158533333332,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,4,R1,116,10.5,"{""E02"": 69, ""E04"": 22}",91,{},0,0,45.182,,,0.0,False,True,False,0,2.81016966666668,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,5,R1,116,11.0,"{""E01"": 18, ""E02"": 18, ""E04"": 18, ""E05"": 18}",72,"{""E04"": 1}",1,0,45.023,,,0.0,False,True,False,0,2.59586966666668,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,6,R2,116,11.5,"{""E01"": 10, ""E03"": 9}",19,{},0,0,45.057,,,0.0,False,True,False,0,2.54316151515152,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,7,R2,116,11.5,"{""E02"": 48, ""E06"": 24}",72,{},0,0,45.183,,,0.0,False,True,False,0,2.20863851515152,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,8,R2,116,12.0,"{""E01"": 18, ""E03"": 18, ""E05"": 18}",54,{},0,0,37.479,,,13.9,True,False,False,0,4.54234463636368,15,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,9,R2,116,12.0,"{""E02"": 45, ""E03"": 22, ""E04"": 23}",90,{},0,0,45.187,,,0.0,False,True,False,0,2.54394890909092,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,10,R2,116,12.5,"{""B01"": 1}",1,{},0,0,4.46,4.46,4.46,0.0,False,True,False,0,1.34802924242424,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,11,R3,116,12.5,"{""E01"": 36, ""E11"": 36}",72,{},0,0,45.141,,,0.0,False,True,False,0,2.190653,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,12,R3,116,12.5,"{""E02"": 50, ""E09"": 25}",75,{},0,0,45.189,,,0.0,False,True,False,0,3.18708709090911,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,13,R3,116,12.5,"{""E05"": 18, ""E10"": 19}",37,{},0,0,30.431,,,14.45,True,False,False,0,6.49390900000002,18,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,14,R3,116,13.0,"{""E02"": 29, ""E04"": 30, ""E11"": 29}",88,{},0,0,45.186,,,0.0,False,True,False,0,2.04004924242425,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,15,R3,116,13.0,"{""E02"": 18, ""E05"": 18, ""E09"": 18, ""E11"": 18}",72,"{""E02"": 1}",1,0,45.189,,,15.0,False,True,False,0,4.19609400000003,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,16,R4,116,13.0,"{""E02"": 82, ""E07"": 25}",107,{},0,0,44.993,,,0.0,False,True,False,0,2.35064893939394,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,17,R4,116,13.5,"{""E01"": 30, ""E08"": 16}",46,{},0,0,45.184,,,0.0,False,True,False,0,8.95833333333346,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,18,R4,116,13.5,"{""E02"": 36, ""E12"": 18}",54,{},0,0,45.19,,,0.0,False,True,False,0,2.28529081818181,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,19,R4,116,13.5,"{""E02"": 40, ""E05"": 16, ""E07"": 17, ""E08"": 17}",90,{},0,0,45.005,,,0.0,False,True,False,0,3.09653972727275,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,20,R4,116,13.5,"{""B02"": 1, ""E02"": 3}",4,{},0,0,3.236,3.236,3.236,0.0,False,True,False,0,1.14531527272726,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,21,R5,116,13.5,"{""E02"": 34, ""E03"": 18, ""E09"": 18}",70,{},0,0,44.998,,,0.0,False,True,False,0,2.54026536363636,1,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,22,R5,116,14.0,"{""E01"": 18, ""E05"": 20, ""E10"": 21}",59,{},0,0,45.186,,,0.0,False,True,False,0,2.43449984848484,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,23,R5,116,14.0,"{""E02"": 30, ""E04"": 30, ""E11"": 30}",90,{},0,0,45.001,,,0.0,False,True,False,0,1.942871,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,24,R5,116,14.0,"{""E02"": 77, ""E07"": 22, ""E12"": 22}",121,{},0,0,45.168,,,0.0,False,True,False,0,2.20980172727274,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,25,R5,116,14.5,"{""E02"": 30, ""E03"": 15, ""E05"": 15, ""E08"": 15}",75,"{""E02"": 1}",1,0,45.009,,,0.0,False,True,False,0,2.50250651515153,1,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,26,R6,116,14.5,"{""E01"": 6, ""E02"": 6, ""E12"": 5}",17,{},0,0,45.036,,,0.0,False,True,False,0,1.2877125151515,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,27,R6,116,14.5,"{""E01"": 17, ""E02"": 17, ""E08"": 18, ""E09"": 18}",70,{},0,0,45.021,,,0.0,False,True,False,0,3.97651515151518,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,28,R6,116,14.5,"{""E02"": 13, ""E04"": 21, ""E10"": 23}",57,{},0,0,45.175,,,8.0,False,True,False,0,2.51335084848487,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,29,R6,116,14.5,"{""E02"": 21, ""E05"": 38, ""E12"": 50}",109,{},0,0,45.194,,,2.0,False,True,False,0,2.89857724242425,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
late,30,R6,116,14.5,"{""B03"": 1, ""E02"": 2}",3,{},0,0,6.67,6.67,6.67,1.0,False,True,False,0,2.9294090909091,0,False,"{""monsters"": 0, ""orphans"": 0.0, ""transients"": 0}"
