build,stage,weapon,completed,dead,seconds,damage_taken,incoming_raw,incoming_applied,boss_raw,boss_applied,watchdog,remaining_enemies
middle,4,114,True,False,45.184,0.0,0.0,0.0,0.0,0.0,False,0
middle,5,114,True,False,45.192,0.875,1.0,0.875,0.0,0.0,False,0
middle,6,114,True,False,45.116,0.0,0.0,0.0,0.0,0.0,False,0
middle,7,114,True,False,45.043,0.0,0.0,0.0,0.0,0.0,False,0
middle,8,114,True,False,45.037,6.125,7.0,6.125,0.0,0.0,False,0
middle,9,114,True,False,45.01,0.0,0.0,0.0,0.0,0.0,False,0
middle,10,114,True,False,3.843,0.0,0.0,0.0,0.0,0.0,False,0
middle,11,114,True,False,45.057,0.0,0.0,0.0,0.0,0.0,False,0
middle,12,114,True,False,45.004,0.0,0.0,0.0,0.0,0.0,False,0
middle,13,114,True,False,44.992,10.5,12.0,10.5,0.0,0.0,False,0
middle,14,114,True,False,45.173,0.0,0.0,0.0,0.0,0.0,False,0
middle,15,114,True,False,45.171,0.0,0.0,0.0,0.0,0.0,False,0
middle,16,114,True,False,45.045,0.0,0.0,0.0,0.0,0.0,False,0
middle,17,114,True,False,44.999,0.0,0.0,0.0,0.0,0.0,False,4
middle,18,114,True,False,45.191,0.0,0.0,0.0,0.0,0.0,False,0
middle,19,114,True,False,45.023,5.1,6.0,5.25,0.0,0.0,False,0
middle,20,114,True,False,2.425,0.0,0.0,0.0,0.0,0.0,False,0
middle,21,114,True,False,45.032,0.0,0.0,0.0,0.0,0.0,False,0
middle,22,114,True,False,44.989,12.25,14.0,12.25,0.0,0.0,False,0
middle,23,114,True,False,45.031,0.0,0.0,0.0,0.0,0.0,False,0
middle,24,114,True,False,44.996,0.0,0.0,0.0,0.0,0.0,False,0
middle,25,114,True,False,44.997,1.75,2.0,1.75,0.0,0.0,False,0
middle,26,114,True,False,45.005,0.0,0.0,0.0,0.0,0.0,False,0
middle,27,114,True,False,45.15,0.0,0.0,0.0,0.0,0.0,False,0
middle,28,114,True,False,45.037,5.25,6.0,5.25,0.0,0.0,False,0
middle,29,114,True,False,45.091,9.625,11.0,9.625,0.0,0.0,False,0
middle,30,114,True,False,3.024,0.0,0.0,0.0,0.0,0.0,False,0
late,1,116,True,False,45.043,0.0,0.0,0.0,0.0,0.0,False,0
late,2,116,True,False,45.162,0.0,0.0,0.0,0.0,0.0,False,0
late,3,116,True,False,45.162,0.0,0.0,0.0,0.0,0.0,False,0
late,4,116,True,False,45.177,0.875,1.0,0.875,0.0,0.0,False,0
late,5,116,True,False,45.164,11.375,13.0,11.375,0.0,0.0,False,0
late,6,116,True,False,45.142,0.0,0.0,0.0,0.0,0.0,False,0
late,7,116,True,False,45.081,0.0,0.0,0.0,0.0,0.0,False,0
late,8,116,True,False,45.02,0.0,0.0,0.0,0.0,0.0,False,0
late,9,116,True,False,45.026,0.0,0.0,0.0,0.0,0.0,False,0
late,10,116,True,False,1.6,0.0,0.0,0.0,0.0,0.0,False,0
late,11,116,True,False,45.01,0.0,0.0,0.0,0.0,0.0,False,0
late,12,116,True,False,44.995,0.0,0.0,0.0,0.0,0.0,False,1
late,13,116,False,True,13.374,12.5,15.0,13.125,0.0,0.0,False,12
late,14,116,True,False,45.001,0.0,0.0,0.0,0.0,0.0,False,0
late,15,116,True,False,45.002,0.0,0.0,0.0,0.0,0.0,False,0
late,16,116,True,False,45.195,0.0,0.0,0.0,0.0,0.0,False,0
late,17,116,True,False,45.0,0.0,0.0,0.0,0.0,0.0,False,0
late,18,116,True,False,45.189,0.0,0.0,0.0,0.0,0.0,False,0
late,19,116,True,False,45.171,12.25,14.0,12.25,0.0,0.0,False,0
late,20,116,True,False,6.277,0.0,0.0,0.0,0.0,0.0,False,0
late,21,116,True,False,45.055,0.0,0.0,0.0,0.0,0.0,False,0
late,22,116,True,False,45.183,10.5,12.0,10.5,0.0,0.0,False,0
late,23,116,True,False,45.026,0.0,0.0,0.0,0.0,0.0,False,0
late,24,116,True,False,45.006,0.0,0.0,0.0,0.0,0.0,False,0
late,25,116,True,False,44.994,0.0,0.0,0.0,0.0,0.0,False,0
late,26,116,True,False,45.179,0.0,0.0,0.0,0.0,0.0,False,0
late,27,116,True,False,45.002,0.0,0.0,0.0,0.0,0.0,False,0
late,28,116,True,False,44.994,13.125,15.0,13.125,0.0,0.0,False,0
late,29,116,True,False,45.032,0.0,0.0,0.0,0.0,0.0,False,0
late,30,116,True,False,1.593,0.0,0.0,0.0,0.0,0.0,False,0
